,Topic,Count,Name,Representation,Representative_Docs
15,14,40,14_horse_pig_wild_boar,"['horse', 'pig', 'wild', 'boar', 'animal', 'cow', 'oink', 'cowlick', 'wolf', 'cat']","['cowlick of horse or cow', 'horse', 'mane of horse, pig']"
16,15,39,15_wind_rain_water_flowing,"['wind', 'rain', 'water', 'flowing', 'air', 'running', 'clouds', 'thunder', 'kite', 'blood']","['wind', 'running water from rain', 'a shelter from wind and rain']"
17,16,38,16_tree_trees_log_branch,"['tree', 'trees', 'log', 'branch', 'branches', 'stump', 'pitch', 'dead', 'trunk', 'rub']","['type of tree--very large', 'a type of tree', 'the Têt tree ']"
18,17,34,17_grass_weeds_woods_garden,"['grass', 'weeds', 'woods', 'garden', 'forest', 'roofs', 'cleaned', 'thatch', 'field', 'wall']","['very young grass of thatch used to make roofs', 'to cut grass', 'grass, weeds']"
19,18,34,18_weaving_thread_rope_weave,"['weaving', 'thread', 'rope', 'weave', 'string', 'instrument', 'wire', 'used', 'cotton', 'sew']","['instrument used to keep thread close together in weaving', 'instrument used carry thread in weaving', 'an instrument used to keep thread in weaving even ']"
20,19,34,19_black_white_skin_rainbow,"['black', 'white', 'skin', 'rainbow', 'ruddy', 'complexion', 'combination', 'pale', 'thread', 'color']","['very black, dirty black', 'black ', 'black']"
21,20,32,20_scrape_dirty_clean_wash,"['scrape', 'dirty', 'clean', 'wash', 'muddy', 'scratch', 'peel', 'off', 'paint', 'wipe']","['dirty water', 'to scrape out of the way, to scrape out and throw away', 'to scrape e.g. scrape pig skin']"
22,21,32,21_particle_final_question_imperative,"['particle', 'final', 'question', 'imperative', 'emphasis', 'polite', 'huh', 'negative', 'marker', 'verb']","['final particle', 'final question particle ', 'final question particle']"
23,22,32,22_teeth_between_hold_show,"['teeth', 'between', 'hold', 'show', 'pipe', 'liver', 'moustache', 'molars', 'spleen', 'funnylooking']","['to show teeth ', 'of a young person to hold pipe between teeth', 'teeth']"
24,23,31,23_intensive_form_truly_really,"['intensive', 'form', 'truly', 'really', 'klk', 'tkul', 'tm', 'tring', 'nhnhn', 'trp']","['intensive of trăp', 'intensive of kơtum', 'intensive of']"
25,24,30,24_depend_badtempered_friendly_kind,"['depend', 'badtempered', 'friendly', 'kind', 'brave', 'tame', 'courageous', 'dependable', 'trust', 'gentle']","['to depend on, trust', 'to depend on, trust in', 'to depend upon, to be dependable, trustworthy']"
26,25,30,25_fruit_ripe_mango_guava,"['fruit', 'ripe', 'mango', 'guava', 'apple', 'twist', 'break', 'off', 'inside', 'wild']","['lechee-like fruit ', 'fruit', 'a type of fruit']"
27,26,30,26_wine_jar_bottle_gourd,"['wine', 'jar', 'bottle', 'gourd', 'cup', 'pour', 'glass', 'drink', 'great', 'expensive']","['type of expensive wine jar', 'wine', 'wine']"
28,27,30,27_desire_want_eager_do,"['desire', 'want', 'eager', 'do', 'wish', 'wants', 'greedy', 'purpose', 'no', 'what']","['to want, desire', 'to want, desire ', 'to want, desire']"
