X,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Keys
72,to think mistakenly,9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,anaǐ
73,necklace of beads,21,21_basket_tree_hut_sword,"['basket', 'tree', 'hut', 'sword', 'centipede', 'calf', 'rod', 'trees', 'back', 'trunk']","['the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) ', 'small back basket ', 'small back basket']",basket - tree - hut - sword - centipede - calf - rod - trees - back - trunk,FALSE,anam
74,difficult,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,anat
75,name,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,anăn
76,in front of,16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,anăp
77,next year,4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,sơnăm anăp
78,in the middle,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,anễ
79,place,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,anih
80,to give oneself a name meaning strong,12,12_angry_be_lie_do,"['angry', 'be', 'lie', 'do', 'to', 'speak', 'verb', 'threaten', 'someone', 'for']","['to be angry ', 'to not be angry at', 'to be angry']",angry - be - lie - do - to - speak - verb - threaten - someone - for,FALSE,ano
81,to carry by pole on shoulder,33,33_weaving_rope_thread_instrument,"['weaving', 'rope', 'thread', 'instrument', 'ladder', 'cut', 'string', 'knife', 'cord', 'in']","['an instrument used to keep thread in weaving even ', 'instrument used carry thread in weaving', 'instrument used to keep thread close together in weaving']",weaving - rope - thread - instrument - ladder - cut - string - knife - cord - in,FALSE,anong
