X,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Keys
2014,to show teeth,8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,FALSE,"lek, lek sơnĕnh"
2015,to show teeth,8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,FALSE,pơlek sơnĕnh
2016,of metals to melt,38,38_cut_wood_bamboo_into,"['cut', 'wood', 'bamboo', 'into', 'rice', 'slices', 'tube', 'with', 'knife', 'small']","['to cut into big slices', 'to cut small wood bamboo in two ', 'to cut into small slices']",cut - wood - bamboo - into - rice - slices - tube - with - knife - small,FALSE,lek
2017,"to hem a garment, blanket",18,18_out_up_off_roll,"['out', 'up', 'off', 'roll', 'to', 'cut', 'under', 'break', 'wrap', 'tear']","['to measure piece of land; to level off with stick; to make a mark; to ostracize', 'to roll up, curl up body ', 'to break off easily come out easily']",out - up - off - roll - to - cut - under - break - wrap - tear,FALSE,lem
2018,rehash over and over,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,len
2019,early in the morning around two or three o'clock,31,31_dark_light_night_morning,"['dark', 'light', 'night', 'morning', 'happened', 'shine', 'fire', 'become', 'really', 'tired']","['to light a fire', 'to light a fire ', 'of sun to be gone down light out and so dark']",dark - light - night - morning - happened - shine - fire - become - really - tired,FALSE,leng gong
2020,grasshopper,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,lep
2021,cricket,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,ler
2022,final particle expressing emphasis (possibly not too polite),27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,FALSE,lĕ
2023,final particle used to call attention to the importance of utterance (may be same as above but to be more polite),27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,FALSE,lĕ
2024,to go out,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,lĕch
2025,"to keep quiet, stop talking (feeling of shame as well)",29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,lĕm
2026,holiday,4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,"lêh, năr lêh"
2027,"to be worried, afraid ",27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,FALSE,lêl
2028,coward,27,27_person_afraid_expression_bad,"['person', 'afraid', 'expression', 'bad', 'people', 'who', 'sad', 'shy', 'tempered', 'many']","['bad-mannered, bad-tempered, mean--male only', 'to make one person angry at another by saying the other person said bad things about him', 'to be afraid continually, person who is always afraid ']",person - afraid - expression - bad - people - who - sad - shy - tempered - many,FALSE,bơngai lêl
2029,"not watching out for, not on toes ",8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,FALSE,"lêng ê, ưh kơ lêng ê"
2030,let,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,lễ
2031,let me go (and see about it),2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,TRUE,lễ inh năm
2032,"leave it, don't do anything about it ",10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,lễ đĕch
2033,may also have the idea of throw away especially when preceded by words meaning to throw out,36,36_throw_shake_feel_choke,"['throw', 'shake', 'feel', 'choke', 'suck', 'touch', 'to', 'when', 'mouth', 'dive']","['to throw', 'to throw out', 'may also have the idea of throw away especially when preceded by words meaning to throw out ']",throw - shake - feel - choke - suck - touch - to - when - mouth - dive,TRUE,lễ
2034,to stick out tongue,36,36_throw_shake_feel_choke,"['throw', 'shake', 'feel', 'choke', 'suck', 'touch', 'to', 'when', 'mouth', 'dive']","['to throw', 'to throw out', 'may also have the idea of throw away especially when preceded by words meaning to throw out ']",throw - shake - feel - choke - suck - touch - to - when - mouth - dive,FALSE,liĕl
2035,"good, healthy, well, good-looking",14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,liĕm
2036,rice that has its full grain,23,23_rice_cooked_food_jar,"['rice', 'cooked', 'food', 'jar', 'grains', 'cook', 'wine', 'grain', 'unhusked', 'used']","['cooked rice', 'type of rice', 'cooked rice']",rice - cooked - food - jar - grains - cook - wine - grain - unhusked - used,FALSE,"liĕng, 'ba liĕng"
2037,gums,6,6_large_pile_intensifier_garden,"['large', 'pile', 'intensifier', 'garden', 'stream', 'area', 'flat', 'river', 'cover', 'paper']","['large pile  ', 'a large pile', 'to be wide cover large area']",large - pile - intensifier - garden - stream - area - flat - river - cover - paper,FALSE,lin
2038,"completely of one kind, unmixed",4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,ling
2039,always,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,ling-lang
2040,"soldier, army ",1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,līnh
2041,"to taste, lick",46,46_eat_eating_food_drink,"['eat', 'eating', 'food', 'drink', 'drinking', 'spirits', 'bad', 'for', 'appetite', 'hungry']","['to get hungry for when seeing someone else eat', 'to eat slowly, eat a little', 'to eat ']",eat - eating - food - drink - drinking - spirits - bad - for - appetite - hungry,FALSE,liơh
2042,more than,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,loi
2043,to become more and more,20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,rai loi
2044,"intermittent, sick one day and not the next ",48,48_smell_smelly_sickness_eating,"['smell', 'smelly', 'sickness', 'eating', 'lymph', 'glands', 'pounding', 'noise', 'fever', 'body']","['bad smell of old meat', 'bad, dirty, smelly', 'bad smell']",smell - smelly - sickness - eating - lymph - glands - pounding - noise - fever - body,FALSE,lon
2045,to leave off hoeing one field and go to another,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,choh lon
2046,"to test, try",0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,"long, pơlong"
2047,type of hard jackfruit,15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,"long, mit long "
2048,running water from rain,19,19_intensive_water_dry_hot,"['intensive', 'water', 'dry', 'hot', 'fire', 'rain', 'dirty', 'season', 'boil', 'large']","['very intensive', 'large fire (intensive form) ', 'intensive of']",intensive - water - dry - hot - fire - rain - dirty - season - boil - large,FALSE,lŏk
2049,"to shed skin, to skin",24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,lŏng
