name,id,group,size,node_name
chhuī,457,44,1,noise of propeller-like apparatus hitting water
long chih chi,458,16,1,pencil
chih,459,11,1,to write
chin-jǐ chin,460,26,1,leprosy (Hansen's disease)
chǐng,461,25,1,small gongs
chǐng chêng,462,7,1,set of small and large gongs
chǐng klŏng,463,15,1,bamboo xylophone
chǐt,464,18,1,to plug a hole
chǐu,465,22,1,to agree go along with accept
chok,466,33,1,"to part hair, clear path, make groove in crossbow/punch with fist, box"
choh,467,43,1,"to hoe, plow, of fish to bite "
chong,468,21,1,to cut grass
chong-wong,469,21,1,pickaxe
chop,470,10,1,to sneak up on
chor,471,33,1,lines on palm of hand
"chŏu, châu",472,13,1,to claw
chôn,473,20,1,greedy
chông,474,12,1,"to lead, people only"
chỗ,475,13,1,to tie
chơbǐ,476,38,1,woven bag
chơchan,477,33,1,in weaving -- putting wooden instruments into the material being woven
chơchoh,478,43,1,to pound or chop meat to type
chơchrĕng,479,29,1,"to hear many people talking, to hear heavy noise"
chơchrỡ,480,19,1,to designate water running as blood
chơdong,481,40,1,type of poisonous snake with black and white stripes
chơdŏ,482,5,1,nose horn of rhinoceros
chơduh,483,33,1,instrument used in weaving placed on one's back for thread
chơđŏk,484,31,1,bad-tempered
chơgăm,485,20,1,to be eager
chơgăn,486,14,1,anything that is used to make one room private
chơgĕt,487,1,1,even so
chơgơu,488,5,1,bear (animal)
chogro,489,13,1,method of tying something up
chơgrô,490,28,1,all tied up and unable to move
chơhnen,491,29,1,to laugh quietly
chơnnŏk,492,6,1,water dipper
chơkang,493,23,1,to give rice wine
chơkăl,494,13,1,to bar door fasten securely
chơkeh,495,13,1,to throw up and hit one stick with another
chơkhŏ,496,7,1,shoes
chơkle,497,29,1,to describe feeling of a sudden surprise
choklêng,498,25,1,to describe flat-surfaced object
chơlă,499,38,1,to peel sugarcane
chơmŏk,500,22,1,to be always successful in fishing
chơ'mal,501,42,1,monkey-faced expression
chơ'mêu,502,45,1,cruel-looking face of tiger
chơ'mon,503,38,1,to squeeze rice into a ball to eat
chơ'moh,504,6,1,place in stream where water divides
chơ'mŏk,505,6,1,funnel
cho'môk,506,32,1,to describe something large curled up in a sitting position
chơ'mônh,507,32,1,cat curled up to rest
chơ'mrunh,508,45,1,description of a frog sitting
chơnăt,509,6,1,new leaves
chơnĕng,510,7,1,walls of a house
chơnok,511,33,1,groove on crossbow in which arrow sets
chơng,512,42,1,"to lead by hand, of hen to lead and give food to chicks"
chơng-rơng,513,21,1,trellis
chơnglai,514,7,1,hem
chơpĕt,515,47,1,to squeeze fruit
chơprê-chơpra,516,17,1,description of many finger-like projections
chơt,517,7,1,like projections
chơwêu,518,28,1,poised to charge
chơwong,519,45,1,to describe goose-neck appearance of anything
chơwơ-chơwơ,520,29,1,to walk or be slow in actions because sick
chỡn,521,34,1,"fearless, able to control"
chỡng,522,38,1,"to cut in two -- bones, wood, meat"
chỡp,523,37,1,to fold
